scenario_key,scenario_name,avg_device_rate_triage/4,avg_device_rate_strict,avg_device_rate_fifo,avg_waiting_time_triage/4,avg_waiting_time_strict,avg_waiting_time_fifo,device_throughput_fairness_triage/4,device_throughput_fairness_strict,device_throughput_fairness_fifo,device_latency_fairness_triage/4,device_latency_fairness_strict,device_latency_fairness_fifo
alarm_under_burst,Alarm Under Burst,5.36895348216906,5.36895348216906,5.36895348216906,0.09172743674904052,0.09172743674904052,0.09172743674904052,0.683223992502343,0.683223992502343,0.683223992502343,0.7092374465910851,0.6834583891140737,0.8268912283332908
alarm_under_burst_phased,Alarm Under Burst (Phased),0.8236352000850493,0.8236352000850493,0.8236352000850493,0.10857894584729781,0.10857894584729781,0.10857894584729781,0.7865518075713293,0.7865518075713293,0.7865518075713293,0.5012996757881324,0.36077537672090443,0.5132647230361796
device_monopolization,Device Monopolization,4.404059361964374,4.404059361964374,4.404059361964374,0.012801935667768959,0.012801935667768959,0.012801935667768959,0.599009900990099,0.599009900990099,0.599009900990099,0.8384818283684335,0.6480815173887554,0.6480815173887554
device_monopolization_sweep,Device Monopolization (Sweep),5.381141047296068,5.381141047296068,5.381141047296068,0.04132154576860007,0.04132154576860007,0.04132154576860007,0.6123384474521358,0.6123384474521358,0.6123384474521358,0.6354103516896282,0.9341984397523215,0.9341984397523215
multi_zone_emergency,Multi-Zone Emergency,0.48325768297958,0.48325768297958,0.48325768297958,0.27480198568738295,0.27480198568738295,0.27480198568738295,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.6460061906440869,0.7023796367845686,0.7325819392551709
multi_zone_emergency_cascade,Multi-Zone Emergency (Cascade),0.13845151722875967,0.13845151722875967,0.13845151722875967,0.2520425850110113,0.2520425850110113,0.2520425850110113,0.9245283018867926,0.9245283018867926,0.9245283018867926,0.5858854887052634,0.5858854887052634,0.5858854887052634
alarm_flood_attack,Alarm Flood Attack,3.8524897100729665,3.328745800691334,3.328745800691334,0.6433041496130971,1.38817275861439,1.38817275861439,0.257201646090535,0.257201646090535,0.257201646090535,0.6932453856445575,0.32742620547548396,0.9965215779523383
alarm_malfunction_surge,Alarm Malfunction Surge (Forced Drops),2.454459071273846,2.3847461089471143,2.3847461089471143,0.13209319174831796,0.5673568050503922,0.5673568050503922,0.3181691480291205,0.3181691480291205,0.3181691480291205,0.7413614668340719,0.5574958424255441,0.9837745106811024
legit_extreme_emergency,Legitimate Extreme Emergency,0.6118905631487124,0.6118905631487124,0.6118905631487124,0.059557931180650586,0.059557931180650586,0.059557931180650586,0.5334156233468524,0.5334156233468524,0.5334156233468524,0.5464404277324908,0.3994857204310042,0.5410708593775359
alarm_rate_sweep_low,Alarm Rate Sweep (0.5/s),1.7652269648185692,1.7652269648185692,1.7652269648185692,0.10268187645919796,0.10268187645919796,0.10268187645919796,0.9074074074074073,0.9074074074074073,0.9074074074074073,0.6095062051649367,0.6997586424729682,0.668254744444802
alarm_rate_sweep_threshold,Alarm Rate Sweep (5.0/s),2.5058020861130093,2.5058020861130093,2.5058020861130093,0.12882776627535608,0.12882776627535608,0.12882776627535608,0.8333333333333335,0.8333333333333335,0.8333333333333335,0.6334573244736912,0.7563857621723353,0.802936444861933
alarm_rate_sweep_attack,Alarm Rate Sweep (20.0/s),3.937424788289076,3.331774902350314,3.331774902350314,3.7215646225281,7.5467354375411,7.546735437541099,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.6636686526910651,0.34959627927127845,0.999887338801458
skewed_alarm_sources,Skewed Alarm Sources,1.010110253918301,1.010110253918301,1.010110253918301,0.028187127668806503,0.028187127668806503,0.028187127668806503,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.5499435698070613,0.6438681747901497,0.6573273429281653
alarm_load_underload,Alarm Load Regime (ρ≈0.3),0.49888352022878407,0.49888352022878407,0.49888352022878407,0.18214641713361504,0.182146417133615,0.18214641713361504,0.8842659014825444,0.8842659014825444,0.8842659014825444,0.6563459428120665,0.6736807994980019,0.6767902462269704
alarm_load_optimal,Alarm Load Regime (ρ≈0.7),1.1530933175084233,1.1530933175084233,1.1530933175084233,0.19155236709895088,0.19155236709895088,0.19155236709895088,0.7593586715338914,0.7593586715338914,0.7593586715338914,0.6466485576608488,0.6535002238522724,0.7704428494907734
alarm_load_near_saturation,Alarm Load Regime (ρ≈0.95),1.5491899977299637,1.55638392027383,1.55638392027383,0.44637718935146226,0.4291093690058693,0.4291093690058693,0.7341309405117978,0.7341309405117978,0.7341309405117978,0.45076117746818184,0.47373973298553873,0.9354631626940797
alarm_load_near_saturation_constrained,Alarm Load Regime (ρ≈0.95, Token-Constrained),1.0620814683300663,1.55638392027383,1.55638392027383,1.9222967572292853,0.4291093690058693,0.4291093690058693,0.7341309405117978,0.7341309405117978,0.7341309405117978,0.2032059888859958,0.47373973298553873,0.9354631626940797
